,Position,Title,Link,Cited_by,Pub_Info,Snippet
55,15,Evaluating transit network resilience through graph theory and demand-elastic measures: Case study of the Toronto transit system,https://www.tandfonline.com/doi/abs/10.1080/19439962.2018.1556229,9,"D King, A Aboudina, A Shalaby - … Transportation Safety & Security, 2020 - Taylor & Francis","… could serve as a strong basis for analyzing the resilience of a complex network. Therefore, … ; (2) focused on the street network, with little or no consideration of the associated transit …"
56,16,Critical transport infrastructure in Urban areas: impacts of traffic incidents assessed using accessibility‐based network vulnerability analysis,https://onlinelibrary.wiley.com/doi/abs/10.1111/j.1468-2257.2008.00448.x,147,"MAP Taylor - Growth and Change, 2008 - Wiley Online Library","… vulnerability and to identify critical locations in road networks. … Figure 3 charts the relative IV values in both full and … for network vulnerability scans in large and complex networks, …"
57,17,Urban road network vulnerability and resilience to large-scale attacks,https://www.sciencedirect.com/science/article/pii/S0925753521004173,8,"S Vivek, H Conner - Safety science, 2022 - Elsevier",… on road transportation networks. … road network vulnerability with complex traffic disruptions in the aftermath of attacks represents a novel way to assess dynamic network vulnerability. …
58,18,Comprehensive comparison and accuracy of graph metrics in predicting network resilience,https://ieeexplore.ieee.org/abstract/document/7149007/,64,"MJF Alenazi, JPG Sterbenz - … reliable communication networks …, 2015 - ieeexplore.ieee.org","… graphs, we study the accuracy of each robustness metric in predicting network resilience … In this section, we increase our graph sample size from 10 graphs to 30,000 graphs divided …"
59,19,Spatial networks,https://www.sciencedirect.com/science/article/pii/S037015731000308X,2689,"M Barthélemy - Physics reports, 2011 - Elsevier","… , power grids and transportation networks obviously depend … Advances in complex networks has already helped … these networks such as walking and searching, resilience, or …"
60,0,Spatial networks,https://www.sciencedirect.com/science/article/pii/S037015731000308X,2689,"M Barthélemy - Physics reports, 2011 - Elsevier","… , power grids and transportation networks obviously depend … Advances in complex networks has already helped … these networks such as walking and searching, resilience, or …"
61,1,Network structure and travel patterns: explaining the geographical disparities of road network vulnerability,https://www.sciencedirect.com/science/article/pii/S0966692308000550,268,"E Jenelius - Journal of Transport Geography, 2009 - Elsevier","… The recent interest in complex networks has led to several similar studies of both real and … Left: Population density of the Swedish municipalities (inhabitants/km 2 ), data from Statistics …"
62,2,Extraction and analysis of traffic and topologies of transportation networks,https://journals.aps.org/pre/abstract/10.1103/PhysRevE.74.036114,230,"M Kurant, P Thiran - Physical Review E, 2006 - APS",… might have crucial meaning for the resilience of the system. A … 3 we present the graphs obtained from this data set. The … logical graph that reflects the traffic flows in the network. This …
63,3,Complex network topology of transportation systems,https://www.tandfonline.com/doi/abs/10.1080/01441647.2013.848955,178,"J Lin, Y Ban - Transport reviews, 2013 - Taylor & Francis","… for graph theory, but also introduced preliminary network … fiction urban street network, column 2 is the primal graphs based … the corresponding dual connectivity graph. Row A represents …"
64,4,… and improvement of the urban transportation networks resilience in short-term non-recurring traffic congestion: a novel graph connectivity-based criteria,https://www.sciencedirect.com/science/article/pii/S2666691X22000501,,"MA Gorji, M Akbarzadeh… - Transportation Engineering, 2022 - Elsevier","… 8, it can be concluded that the western streets of Isfahan transportation networks have a more significant role than the eastern streets in the resilience of the transportation network. This …"
65,5,Characterization of resilience of networks to uncertain disruptions: A case study of Houston road network during Hurricane Harvey,https://ascelibrary.org/doi/abs/10.1061/9780784483169.004,2,"B Abdulla, B Birgisson - International Conference on Transportation …, 2020 - ascelibrary.org","… , first, the road network is represented as planar graphs and … which resilience is calculated for any type of graph based on … Studies on the vulnerability of transport systems using graph …"
66,6,… of the impact of structural damage on urban accessibility following a disaster: the case of the seismically damaged Port Au Prince and Carrefour urban road networks,https://www.sciencedirect.com/science/article/pii/S0966692311001372,141,"F Bono, E Gutiérrez - Journal of Transport Geography, 2011 - Elsevier","… the street vector data are converted into a graph network and … own herein) the vulnerability of the Swedish road network, in the … studies have addressed the complex issue of this mutual …"
67,7,An assessment method for traffic state vulnerability based on a cloud model for urban road network traffic systems,https://ieeexplore.ieee.org/abstract/document/9126236/,20,"Z Deng, D Huang, J Liu, B Mi… - … Intelligent Transportation …, 2020 - ieeexplore.ieee.org","… analysis method based on complex network, we develop a … vulnerability based on a cloud model for urban road network … the vulnerability of urban road network, the scale cloud charts …"
68,8,An attack graph-based probabilistic computing approach of network security,http://cjc.ict.ac.cn/eng/qwjse/view.asp?id=3214,30,"Y Ye, XS Xu, Y Jia, ZC Qi - Jisuanji Xuebao(Chinese Journal of …, 2010 - cjc.ict.ac.cn","… too complicated, not suited to large-scale network. This paper presents a methodology for … graphs and the Common Vulnerability Scoring System (CVSS), simplifies the attack graphs by …"
69,9,Applying network theory to quantify the redundancy and structural robustness of water distribution systems,https://ascelibrary.org/doi/abs/10.1061/(ASCE)WR.1943-5452.0000159,141,"A Yazdani, P Jeffrey - Journal of Water Resources Planning and …, 2012 - ascelibrary.org","… to assessing this constrained form of WDN resilience that draws on recent developments in complex networks and graph theory, which quantify the network building blocks (local and …"
70,10,Vulnerability of infrastructure systems: Macroscopic analysis of critical disruptions on road networks,https://ascelibrary.org/doi/abs/10.1061/(ASCE)IS.1943-555X.0000266,28,"SH Hosseini Nourzad, A Pradhan - Journal of Infrastructure …, 2016 - ascelibrary.org",… for modeling transportation network vulnerability due to area-… graph-partitioning methods in which the nodes of a network … clusters are necessary inputs of graph-partitioning methods (…
71,11,The network analysis of urban streets: A dual approach,https://www.sciencedirect.com/science/article/pii/S0378437106001282,889,"S Porta, P Crucitti, V Latora - Physica A: Statistical Mechanics and its …, 2006 - Elsevier","… the resilience of scale-free networks to errors and attacks. The emerging of scaling in a complex network … to population growth through lines of transportation, or seeking the prediction of …"
72,12,Random graphs and complex networks,https://books.google.com/books?hl=en&lr=&id=gJ20DQAAQBAJ&oi=fnd&pg=PR13&dq=graphs+OR+complex+networks+AND+street+networks+OR+transportation+OR+transport+networks+OR+street+graphs+OR+transportation+OR+transport+graphs+AND+vulnerability+OR+resilience+OR+susceptibility&ots=kfs9951YK_&sig=oEKkp6D-Sp3ELjeWd28z2psFblM,903,R Van Der Hofstad - 2016 - books.google.com,"… results for the Erdos-Rényi random graph as well as for random graph models for complex … Such results would have great implications for the resilience of networks, both to random and …"
73,13,Brain functional networks in syndromic and non-syndromic autism: a graph theoretical study of EEG connectivity,https://bmcmedicine.biomedcentral.com/articles/10.1186/1741-7015-11-54,194,"JM Peters, M Taquet, C Vega… - BMC …, 2013 - bmcmedicine.biomedcentral.com","… Next, graph measures of the functional networks were computed and a resilience analysis … To characterize these complex networks with quantitative measures, graph analysis can be …"
74,14,Using complex network analysis for optimization of water distribution networks,https://agupubs.onlinelibrary.wiley.com/doi/abs/10.1029/2020WR027929,33,"R Sitzenfrei, Q Wang, Z Kapelan… - Water resources …, 2020 - Wiley Online Library","… distribution networks (WDNs), and they performed vulnerability … characterized by graph metrics based on unweighted graphs. … The generation approach uses real open street map data …"
75,15,Resilience of aging structures and infrastructure systems with emphasis on seismic resilience of bridges and road networks,https://www.sciencedirect.com/science/article/pii/S2772741622000205,8,"L Capacci, F Biondini, DM Frangopol - Resilient Cities and Structures, 2022 - Elsevier","… , particularly bridges and transportation networks, exposed to … Consistently with graph theory, road networks can be … of complex networks have been proposed as road performance …"
